DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostSorted,256,0.0833333,selection_sort,161370,1721.57,true
AlmostSorted,256,0.0833333,shell_sort,27582.9,1085.07,true
AlmostSorted,256,0.166667,bubble_sort,77636.6,4032.45,true
AlmostSorted,256,0.166667,merge_sort,80468.7,779.355,true
AlmostSorted,256,0.166667,counting_sort,2852.06,64.9887,true
AlmostSorted,256,0.166667,radix_sort,33211.1,1082.64,true
AlmostSorted,256,0.166667,heap_sort,41605.5,938.152,true
AlmostSorted,256,0.166667,insertion_sort,28892.9,2840.78,true
AlmostSorted,256,0.166667,selection_sort,163627,1833.05,true
AlmostSorted,256,0.166667,shell_sort,31795.1,1175.93,true
AlmostSorted,256,0.25,bubble_sort,112236,3416.92,true
AlmostSorted,256,0.25,merge_sort,83522.9,923.73,true
AlmostSorted,256,0.25,counting_sort,2856.12,47.3524,true
AlmostSorted,256,0.25,radix_sort,37727.6,1488.82,true
AlmostSorted,256,0.25,heap_sort,43035.2,992.767,true
AlmostSorted,256,0.25,insertion_sort,37645.4,1349.55,true
AlmostSorted,256,0.25,selection_sort,163921,1210.27,true
AlmostSorted,256,0.25,shell_sort,34107.2,1664.9,true
AlmostSorted,256,0.333333,bubble_sort,141547,3370.83,true
AlmostSorted,256,0.333333,merge_sort,85022.9,615.07,true
AlmostSorted,256,0.333333,counting_sort,2842.19,48.3366,true
AlmostSorted,256,0.333333,radix_sort,41227.4,818.506,true
AlmostSorted,256,0.333333,heap_sort,44009.4,860.031,true
AlmostSorted,256,0.333333,insertion_sort,46649.8,2091.02,true
AlmostSorted,256,0.333333,selection_sort,164740,813.451,true
AlmostSorted,256,0.333333,shell_sort,35163.2,899.416,true
AlmostSorted,256,0.416667,bubble_sort,165786,4198.85,true
AlmostSorted,256,0.416667,merge_sort,87104.9,885.269,true
AlmostSorted,256,0.416667,counting_sort,2864.12,48.2229,true
AlmostSorted,256,0.416667,radix_sort,44689.4,1491.77,true
AlmostSorted,256,0.416667,heap_sort,43851.5,1500.57,true
AlmostSorted,256,0.416667,insertion_sort,54541.9,4327.83,true
AlmostSorted,256,0.416667,selection_sort,164960,1003.27,true
AlmostSorted,256,0.416667,shell_sort,36891.4,1562.25,true
