DataType,Size,Ratio,Algorithm,CPU_MeanTime(ns),CPU_StdDeviation(ns),CPU_AllSorted,CUDA_MeanTime(ns),CUDA_StdDeviation(ns),CUDA_AllSorted,Speedup
AlmostSorted,32,0,heap_sort,2486.06,390.622,true,0,0,true,0
AlmostSorted,32,0.0833333,bubble_sort,1068,101.781,true,2.68801e+07,130641,true,3.9732e-05
AlmostSorted,32,0.0833333,merge_sort,9084.19,297.003,true,1.32483e+06,150916,true,0.00685689
AlmostSorted,32,0.0833333,counting_sort,478,37.8065,true,484367,56830.3,true,0.000986856
AlmostSorted,32,0.0833333,radix_sort,3094.12,135.555,true,806879,50968.3,true,0.00383468
AlmostSorted,32,0.0833333,heap_sort,3334.12,206.111,true,0,0,true,0
AlmostSorted,32,0.166667,bubble_sort,1728,185.121,true,2.69194e+07,195453,true,6.41916e-05
AlmostSorted,32,0.166667,merge_sort,9410.38,232.117,true,1.25117e+06,22442.1,true,0.00752127
AlmostSorted,32,0.166667,counting_sort,484,25.7992,true,458796,52052.1,true,0.00105494
AlmostSorted,32,0.166667,radix_sort,3372.25,150.626,true,796195,38608.2,true,0.00423546
AlmostSorted,32,0.166667,heap_sort,3338,167.185,true,0,0,true,0
AlmostSorted,32,0.25,bubble_sort,2250.06,183.95,true,2.6878e+07,156580,true,8.37139e-05
AlmostSorted,32,0.25,merge_sort,9974.38,1384.76,true,1.24017e+06,20990.8,true,0.00804272
AlmostSorted,32,0.25,counting_sort,474,37.3524,true,441871,26382,true,0.00107271
AlmostSorted,32,0.25,radix_sort,3586.19,152.124,true,804479,30727.2,true,0.00445777
AlmostSorted,32,0.25,heap_sort,3358.06,145.226,true,0,0,true,0
AlmostSorted,32,0.333333,bubble_sort,2768.12,159.145,true,2.68331e+07,80731.2,true,0.000103161
AlmostSorted,32,0.333333,merge_sort,9898.31,249.137,true,1.23406e+06,9799.55,true,0.00802091
AlmostSorted,32,0.333333,counting_sort,476.062,38.5961,true,432939,16038.9,true,0.00109961
AlmostSorted,32,0.333333,radix_sort,3776.12,172.561,true,797513,36341.3,true,0.00473488
AlmostSorted,32,0.333333,heap_sort,3472.06,150.115,true,0,0,true,0
AlmostSorted,32,0.416667,bubble_sort,3256,149.866,true,2.68476e+07,89132,true,0.000121277
AlmostSorted,32,0.416667,merge_sort,10030.4,259.246,true,1.23486e+06,17204.2,true,0.00812272
AlmostSorted,32,0.416667,counting_sort,456,41.3118,true,429847,13572.6,true,0.00106084
AlmostSorted,32,0.416667,radix_sort,3942.19,121.58,true,792629,23372.5,true,0.00497356
AlmostSorted,32,0.416667,heap_sort,3486.06,116.575,true,0,0,true,0
AlmostSorted,64,0,bubble_sort,414,52.8646,true,1.07592e+08,218467,true,3.84788e-06
AlmostSorted,64,0,merge_sort,17302.8,2267.25,true,2.10542e+06,30191.8,true,0.0082182
AlmostSorted,64,0,counting_sort,868.062,68.97,true,454543,24819.4,true,0.00190975
AlmostSorted,64,0,radix_sort,4646.12,193.016,true,902961,56280.6,true,0.00514543
AlmostSorted,64,0,heap_sort,5384.06,1128,true,0,0,true,0
AlmostSorted,64,0.0833333,bubble_sort,3134.12,450.915,true,1.07679e+08,327743,true,2.91062e-05
AlmostSorted,64,0.0833333,merge_sort,18206.6,353.147,true,2.13963e+06,63303.8,true,0.00850922
AlmostSorted,64,0.0833333,counting_sort,832,26.1279,true,471882,46380.4,true,0.00176315
AlmostSorted,64,0.0833333,radix_sort,6054.19,370.136,true,938978,67504,true,0.00644764
AlmostSorted,64,0.0833333,heap_sort,7788.25,326.576,true,0,0,true,0
AlmostSorted,64,0.166667,bubble_sort,5606.25,354.267,true,1.07551e+08,182073,true,5.21265e-05
AlmostSorted,64,0.166667,merge_sort,19026.6,433.639,true,2.09769e+06,13824.3,true,0.00907026
AlmostSorted,64,0.166667,counting_sort,836,25.7992,true,450381,14308.3,true,0.0018562
AlmostSorted,64,0.166667,radix_sort,6868.31,296.863,true,902359,56828.3,true,0.00761151
AlmostSorted,64,0.166667,heap_sort,7940.25,327.541,true,0,0,true,0
AlmostSorted,64,0.25,bubble_sort,7796.5,382.196,true,1.07707e+08,173041,true,7.23859e-05
AlmostSorted,64,0.25,merge_sort,19862.4,1429.17,true,2.10494e+06,25453.2,true,0.00943613
AlmostSorted,64,0.25,counting_sort,848,33.0495,true,448037,17487.6,true,0.0018927
AlmostSorted,64,0.25,radix_sort,7520.5,263.288,true,899007,40177.2,true,0.00836534
AlmostSorted,64,0.25,heap_sort,7994.38,286.442,true,0,0,true,0
AlmostSorted,64,0.333333,bubble_sort,9906.38,593.769,true,1.07634e+08,176810,true,9.20379e-05
AlmostSorted,64,0.333333,merge_sort,20056.7,302.034,true,2.1035e+06,15830.6,true,0.00953493
AlmostSorted,64,0.333333,counting_sort,828,38.5331,true,448613,23314.5,true,0.00184569
AlmostSorted,64,0.333333,radix_sort,8044.31,415.724,true,909823,47768.3,true,0.00884162
AlmostSorted,64,0.333333,heap_sort,8388.25,313.368,true,0,0,true,0
AlmostSorted,64,0.416667,bubble_sort,11764.3,459.954,true,1.07477e+08,164960,true,0.000109459
AlmostSorted,64,0.416667,merge_sort,20350.7,226.809,true,2.10259e+06,27250.3,true,0.00967888
AlmostSorted,64,0.416667,counting_sort,836,19.8125,true,454495,37579.3,true,0.0018394
AlmostSorted,64,0.416667,radix_sort,8978.31,1293.36,true,909929,51774.6,true,0.00986705
AlmostSorted,64,0.416667,heap_sort,8108.25,252.624,true,0,0,true,0
AlmostSorted,128,0,bubble_sort,716,43.5247,true,4.32431e+08,571504,true,1.65576e-06
AlmostSorted,128,0,merge_sort,33643.2,363.29,true,3.83738e+06,44291.7,true,0.00876725
AlmostSorted,128,0,counting_sort,1542,139.836,true,477944,31880.7,true,0.00322632
AlmostSorted,128,0,radix_sort,10578.4,147.71,true,967631,35103.1,true,0.0109322
AlmostSorted,128,0,heap_sort,12830.6,2834.66,true,0,0,true,0
AlmostSorted,128,0.0833333,bubble_sort,11182.1,677.661,true,4.32802e+08,612342,true,2.58364e-05
AlmostSorted,128,0.0833333,merge_sort,37529.2,539.373,true,3.84389e+06,38975.9,true,0.00976334
AlmostSorted,128,0.0833333,counting_sort,1502.06,35.9007,true,474406,27795.7,true,0.0031662
AlmostSorted,128,0.0833333,radix_sort,13794.1,458.593,true,978875,34306.2,true,0.0140918
AlmostSorted,128,0.0833333,heap_sort,17918.9,803.626,true,0,0,true,0
AlmostSorted,128,0.166667,bubble_sort,20580.7,1005.3,true,4.32223e+08,426348,true,4.76159e-05
AlmostSorted,128,0.166667,merge_sort,39007.3,436.36,true,3.83648e+06,68663.3,true,0.0101675
AlmostSorted,128,0.166667,counting_sort,1518.12,28.633,true,461388,43449,true,0.00329035
AlmostSorted,128,0.166667,radix_sort,15718.6,359.338,true,958911,45370,true,0.0163921
AlmostSorted,128,0.166667,heap_sort,18394.7,719.274,true,0,0,true,0
AlmostSorted,128,0.25,bubble_sort,29149,1830.51,true,4.32398e+08,599589,true,6.74125e-05
AlmostSorted,128,0.25,merge_sort,40293.2,658.689,true,3.82374e+06,64985.3,true,0.0105377
AlmostSorted,128,0.25,counting_sort,1532.06,30.7169,true,449865,24888.9,true,0.0034056
AlmostSorted,128,0.25,radix_sort,17488.6,665.919,true,947158,55517.2,true,0.0184643
AlmostSorted,128,0.25,heap_sort,18924.7,607.203,true,0,0,true,0
AlmostSorted,128,0.333333,bubble_sort,36209.2,879.777,true,4.32353e+08,464846,true,8.37493e-05
